ANA|アナ|クラウン,ANAクラウンプラザホテル 札幌,札幌市中央区北３条西１丁目２−９,創成通沿い
とうきゅう,東急スティ 札幌,札幌市中央区南１条西１丁目１３−４,１条通から創成通と南向１通の間の一通を南に向かい東側
とうきゅう,東急スティ札幌大通,札幌市中央区南２条西５丁目26−２,南向一通西側
とうよこ,東横INNすすきの交差点,札幌市中央区南４条西３丁目４−１,
とうよこ,東横INN札幌駅西口北大前,札幌市北区北８条西４丁目22−７,北大通
とうよこ,東横INN札幌駅南口,札幌市中央区北３条西１丁目１−１６,北３条通から中通西側
とうよこ,東横INN札幌駅北口,札幌市北区北６条西１丁目４−３,
ドーミー,ドーミーイン ＰＲＥＭＩＵＭ,札幌市中央区南２条西６丁目４−１,南２条通南側
ドーミー,ドーミーインＡＮＮＥＸ,札幌市中央区南３条西６丁目１０−６,南３条通北側
とけいだい,ホテル時計台,札幌市中央区北２条西３丁目１−３５,駅前通と西3丁目通（北進一通）の仲通り
トラベロッジ|Travelodge,トラベロッジ(Travelodge)札幌すすきの,札幌市中央区南６条西５丁目12−１,南６条通北側　旧レッドプラネット
なかむらや,中村屋旅館,札幌市中央区北3条西7丁目1-1,
ニコー,ニコーリフレ,札幌市中央区南３条西２丁目１４ ニコービル 4F,南３条通北側
ニセコ,Always Niseko,虻田郡倶知安町樺山65-15,海外客多め
ニセコ,MUWA NISEKO,虻田郡倶知安町ニセコひらふ1条3丁目,新規ラグジュアリー
ニセコ,いこいの湯宿 いろは,虻田郡ニセコ町ニセコ477,日帰り温泉有
ニセコ,ザ・ヴェールニセコ,虻田郡倶知安町山田166-9,長期滞在型
ニセコ,シャレーアイビーヒラフ,虻田郡倶知安町山田188-19,外国人利用多め
ニセコ,スカイニセコ,虻田郡倶知安町山田204-7,コンドホテル
ニセコ,ホテルニセコアルペン,虻田郡倶知安町山田204,ひらふ中心
ニセコ,ニセコグランドホテル,虻田郡ニセコ町ニセコ412,老舗温泉ホテル
