ANA|アナ|クラウン,ANAクラウンプラザホテル 札幌,札幌市中央区北３条西１丁目２−９,創成通沿い
定山渓,グランドブリッセンホテル定山渓,札幌市南区定山渓温泉東4丁目328,比較的新しい高級系
定山渓,シャレーアイビー定山渓,札幌市南区定山渓温泉東3丁目231,ラグジュアリー系
定山渓,ぬくもりの宿 ふる川,札幌市南区定山渓温泉西4丁目353,囲炉裏ラウンジ有
定山渓,奥定山渓温泉 佳松御苑,札幌市南区定山渓857,高級オーベルジュ系
定山渓,花もみじ,札幌市南区定山渓温泉西3丁目32,鹿の湯グループ・高級寄り
定山渓,鹿の湯,札幌市南区定山渓温泉西3丁目32,老舗旅館
定山渓,女性のための宿 翠蝶館,札幌市南区定山渓温泉西3丁目57,女性向け宿
定山渓,章月グランドホテル,札幌市南区定山渓温泉東3丁目239,渓谷ビュー
定山渓,厨翠山,札幌市南区定山渓温泉西3丁目4,料理重視の宿
定山渓,翠巌,札幌市南区定山渓温泉西1丁目86-1,高級スモールラグジュアリー
定山渓,翠山亭倶楽部定山渓,札幌市南区定山渓温泉西2丁目10,大人向け宿
定山渓,定山渓ホテル,札幌市南区定山渓温泉西4丁目340,老舗ホテル
定山渓,定山渓 ゆらく草庵,札幌市南区定山渓温泉東3丁目228-1,共立リゾート系
定山渓,定山渓ビューホテル,札幌市南区定山渓温泉東2丁目111-3,大型温泉リゾート・プール有
定山渓,定山渓第一寶亭留 翠山亭,札幌市南区定山渓温泉西3丁目105,高級旅館
定山渓,定山渓鶴雅リゾートスパ 森の謌,札幌市南区定山渓温泉東3丁目192,鶴雅グループ
